id,history,comedy,animation,action,romance,documentary,mystery,crime,science fiction,fantasy,drama,western,horror,adventure,family,thriller,music,foreign,war
197,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
199,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
200,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
201,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
205,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
217,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
232,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
236,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
240,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
242,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
243,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
245,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
248,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
254,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
257,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
272,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
277,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
278,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
279,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
281,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
285,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
290,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
296,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
297,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
